Title,Company,Location,Salary,Kelayakan
Coal Buyer Seller Specialist (Trader Coal),PT Rajawali Bumi Raya,Manado,Rp 4.500.000,Tidak Layak
Finance & Accounting Manager,PT Surya Tanjung Jaya,Badung,Rp 4.500.000,Tidak Layak
Staff Telecollection Recovery,PT Indium Dinamika Solusindo,Manado,Rp 11.000.000,Layak
Real Estate Admin - Back Office,PT Seacrest Real Estate,Jakarta Utara,Rp 12.000.000,Layak
Sales Associates,PT ME TOO INTERNATIONAL,Jakarta Utara,Rp 5.000.000,Tidak Layak
Growth Marketing Manager,PT Grune Teknologi Indonesia,Musi Banyuasin,Rp 7.000.000,Layak
HRGA Assistance/ Recruitment Assistance,PT. EMTRADE TEKNOLOGI FINANSIAL,Manado,Rp 4.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,PT. EMTRADE TEKNOLOGI FINANSIAL,Jakarta Barat,"Rp 5,000,000",Tidak Layak
Real Estate Admin - Back Office,Growtopia,Bali,Rp 4.500.000,Tidak Layak
Real Estate Admin - Back Office,PT Daikin Airconditioning Indonesia,Semarang Tengah,Rp 4.500.000,Tidak Layak
Real Estate Admin - Back Office,PT Surya Tanjung Jaya,Denpasar Utara,Rp 3.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT. JAYA BERSAMA SAPUTRA PERKASA,Jakarta Barat,Rp 3.000.000,Tidak Layak
Staff Telecollection Recovery,PT Seacrest Real Estate,Jakarta Utara,Rp 3.500.000,Tidak Layak
Content Creator (TikTok Specialist),PT. EMTRADE TEKNOLOGI FINANSIAL,Semarang Tengah,Rp 5.000.000,Tidak Layak
Real Estate Admin - Back Office,PT Dufrindo Internasional,Badung,Rp 4.500.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Indium Dinamika Solusindo,Jakarta Selatan,Rp 3.500.000,Tidak Layak
HEAD WORKSHOP INTERIOR FURNITURE,Tumbleryuk,Musi Banyuasin,Rp 5.000.000,Tidak Layak
Coal Buyer Seller Specialist (Trader Coal),Palais Construction,Denpasar Utara,Rp 2.500.000,Tidak Layak
Sales Alkes / Farmasi (Area Surabaya),Growtopia,Jakarta Utara,Rp 8.000.000,Layak
Customer Relation Officer Jakarta,PT Danpac Pharma,Bandung,Rp 4.500.000,Tidak Layak
HRGA Assistance/ Recruitment Assistance,Palais Construction,Jakarta Raya,Rp 3.000.000,Tidak Layak
Kepala Administrasi (Kasie) Kebun,PT Surya Tanjung Jaya,Semarang Tengah,Rp 5.000.000,Tidak Layak
DIMSUM CHEF,PT. JAYA BERSAMA SAPUTRA PERKASA,Surakarta,Rp 4.500.000,Tidak Layak
Growth Marketing Manager,PT. JAYA BERSAMA SAPUTRA PERKASA,Manado,Rp 3.500.000,Tidak Layak
